,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.22778213
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0053367848
22,0.015830157
23,0.58002716
24,0.0
25,0.0
26,1.6821048
27,0.00036976716
28,0.03508524
29,0.0
30,0.0
31,0.0
32,0.2615762
33,0.0
34,0.21994872
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.04596169
43,0.0
44,2.697558
45,0.0
46,0.0
47,0.0
48,0.11325308
49,0.0
50,0.0
51,0.0
52,0.0
53,0.015749129
54,0.920481
55,0.14104806
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.91474915
69,0.19671561
70,0.0
71,0.0
72,0.11602744
73,0.0
74,0.0
75,0.0
76,0.0
77,0.40472493
78,0.0
79,0.0
80,0.0
81,0.000906153
82,0.37270567
83,0.05923539
84,0.0
85,0.099443026
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.001774794
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.08630521
100,0.0
101,1.324471
102,0.0
103,0.074342564
104,0.0
105,0.0
106,1.6983479
107,0.0
108,1.5678374
109,0.0
110,0.0
111,0.0
112,0.0
113,0.050930273
114,0.0
115,0.0
116,0.0
117,0.17936197
118,0.01113517
119,0.014090996
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.17883214
126,0.0
127,0.0
128,0.30595613
129,0.0
130,0.0
131,0.0006175745
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,3.275539
142,0.03886622
143,3.5620189
144,0.07974542
145,0.0
146,0.0
147,0.0
148,0.0
149,0.18217859
150,0.0
151,0.0
152,0.0
153,0.0
154,0.42964044
155,0.0
156,0.0
157,0.0
158,0.018895531
159,4.7551746
160,0.19371985
161,0.037938386
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.450247
187,0.0
188,0.25408778
189,0.0
190,0.0
191,0.00024299926
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.17429796
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,3.6984148
213,0.39937335
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.43130386
237,0.0
238,0.0
239,0.0
240,0.801865
241,0.009239901
242,0.0
243,0.0
244,0.076385036
245,0.16281547
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.10063545
257,0.0
258,0.5356196
259,0.0
260,0.5648737
261,0.2972933
262,1.0730717
263,0.049928974
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.13512936
273,0.020788755
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.19536488
281,0.0
282,0.0
283,1.3071396
284,0.0
285,0.0
286,0.17587048
287,0.43925697
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.50423706
296,0.0
297,0.028661923
298,0.00010910332
299,0.0
300,0.0
301,0.0
302,0.07870735
303,0.0
304,0.0
305,0.0
306,0.0
307,0.15237144
308,0.10689435
309,0.0
310,0.0
311,0.0
312,0.2972184
313,0.0
314,0.0
315,0.17929286
316,2.138782
317,0.0
318,0.0
319,1.1570722
320,0.0
321,0.0
322,0.0
323,0.6504356
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.88122445
330,1.7627589
331,0.0
332,0.0
333,0.0
334,0.051267542
335,0.0
336,0.0
337,0.0
338,0.0
339,0.034859754
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.013274911
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,1.2795283
365,0.8706829
366,0.014547228
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.1363941
377,0.0
378,0.05359137
379,0.0
380,0.0
381,0.0
382,0.0
383,0.07226618
384,0.0
385,0.28690493
386,0.0
387,0.0
388,0.13476363
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.7232121
409,0.0
410,0.44085938
411,0.0
412,0.0
413,0.0
414,0.0
415,0.005672512
416,0.0
417,0.013093974
418,0.0
419,0.008533159
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.002900174
434,0.0
435,0.0
436,0.0
437,0.14962742
438,0.0
439,0.0
440,0.0
441,0.0
442,0.003661335
443,0.0
444,0.0
445,0.0
446,0.0
447,0.3152347
448,0.0
449,0.0
450,0.0
451,0.0
452,3.2772894
453,0.0
454,0.0
455,2.002486
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.17827816
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.2081028
472,0.0
473,0.0
474,0.0
475,0.0
476,0.12817843
477,0.3441413
478,0.28377527
479,1.6551864
480,4.049955
481,0.0
482,0.0
483,0.13039936
484,1.1107394
485,0.0
486,2.0855672
487,2.4887888
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,2.526687
496,0.0
497,0.0
498,0.0
499,0.0
500,0.20245327
501,0.39092663
502,0.0
503,0.0
504,0.45978048
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.19013901
528,0.032372225
529,0.0
530,0.0
531,0.09276136
