,0
0,0.0
1,0.0
2,0.0
3,0.0
4,2.0606484
5,0.0
6,0.0
7,0.0
8,0.011109701
9,0.15011476
10,0.0
11,0.0
12,0.8041578
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.67292565
19,0.0
20,0.2263608
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,2.284816
29,0.826825
30,0.32929003
31,0.0
32,0.0
33,0.0
34,0.22363444
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.21402732
45,0.0
46,0.0015243975
47,0.12725428
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.029162785
54,0.20863369
55,0.0
56,0.0
57,0.0
58,0.002586786
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,2.42275
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.41318247
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0057223374
79,5.2468767
80,0.011001209
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0051983525
88,0.0
89,0.0
90,0.0
91,1.5665766
92,0.0
93,2.0836039
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.02810969
104,0.013645342
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.5042708
111,0.0
112,0.0
113,0.01914347
114,0.0043870914
115,0.034155395
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0031052385
122,0.0
123,0.0
124,0.20865397
125,1.7307236
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.46404693
140,0.0
141,0.10856687
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.045579262
157,0.0
158,0.0
159,0.0
160,0.08356545
161,0.0
162,1.8946207
163,0.0
164,0.0
165,0.0
166,1.9820371
167,0.0
168,0.021067163
169,0.0
170,0.0
171,0.014731051
172,0.011154864
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.011415899
202,0.23807098
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,4.294414
209,0.0050478717
210,1.3940176
211,0.0
212,0.04794771
213,0.0
214,0.0
215,0.0
216,3.9467986
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.4400774
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,1.5332735
259,0.0
260,0.3058783
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.007980782
267,0.0
268,0.0
269,0.39117822
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.97950906
277,0.0
278,0.0
279,0.0
280,0.16750135
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.059603292
287,0.5815444
288,1.8967891
289,0.0
290,0.0
291,0.0
292,0.011574172
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.051125962
302,0.21587032
303,0.7804129
304,1.4682863
305,0.57240987
306,0.64808035
307,0.0
308,0.35612416
309,0.0
310,0.0
311,0.02197622
312,0.009095938
313,0.5269191
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.16086532
323,0.0
324,0.0
325,0.19113025
326,0.13886921
327,0.0
328,0.12650973
329,0.40589237
330,0.0
331,0.0
332,0.39394245
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,3.6664252
363,0.0
364,0.48811585
365,0.0
366,0.083702035
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.045493912
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.088433504
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,2.6214254
405,0.0
406,0.021721046
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.6215952
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.3126856
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.7138663
434,0.0
435,0.0
436,0.0
437,0.0
438,0.22409222
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.15031084
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.22292115
460,0.0
461,0.0
462,0.0
463,0.022505462
464,0.22627875
465,0.0
466,0.35505527
467,0.0
468,0.0
469,0.0
470,0.05870559
471,0.0
472,0.2653088
473,1.1341004
474,0.0
475,1.4373102
476,0.0054879026
477,1.5623674
478,0.0
479,2.3659384
480,0.0
481,0.0
482,0.0
483,0.0
484,0.3255621
485,0.5393313
486,0.44440624
487,0.7624831
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.021145342
503,0.0
504,0.0
505,0.0
506,1.2369473
507,1.0484082
508,0.0
509,0.0
510,0.19221959
511,0.0
512,1.0839953
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.4176331
523,0.000118900454
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.26702085
531,0.0001962409
532,0.0
533,0.0
