,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.059447136
8,0.0
9,0.0
10,0.0
11,0.0
12,0.40238574
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.008750843
19,2.0552
20,0.9925675
21,0.0
22,0.0
23,0.0
24,0.0
25,1.100519
26,0.0
27,0.22316211
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0019363749
33,0.0948088
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.01659738
47,1.3728609e-05
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.5157661
54,0.19476977
55,0.0
56,0.0
57,0.0
58,1.1490438
59,0.0
60,0.25839856
61,0.0
62,0.0
63,0.0
64,0.0
65,0.49598858
66,0.023703342
67,0.0
68,0.12540875
69,0.037179023
70,0.3407517
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0085836295
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.7461494
85,0.0
86,0.08166348
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0010607932
97,0.3712606
98,1.6051054
99,0.0
100,0.06759344
101,0.0
102,0.0
103,0.27729744
104,0.21619038
105,0.5601625
106,0.0
107,0.01519697
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.104399055
117,0.05316036
118,0.0
119,1.7365872
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.04813224
129,0.0
130,0.13509563
131,0.0
132,0.0
133,0.0
134,0.0
135,0.018124424
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.5348216
151,0.0
152,0.08813263
153,0.0
154,0.0
155,0.0
156,0.07066305
157,0.0
158,0.0
159,0.0
160,0.0
161,1.6546906
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.059044216
169,0.0
170,0.0
171,0.0
172,0.0021204534
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,1.2416888
179,0.0
180,0.0
181,1.4380553
182,0.5247958
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.001758779
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.28158367
212,0.0
213,0.0
214,0.0
215,0.08230325
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.10424902
225,0.0
226,4.1141744
227,0.00012710564
228,1.3639002
229,0.0
230,0.0
231,0.0
232,0.00012114262
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.4866706
239,0.0
240,0.0
241,0.0
242,0.0
243,0.050587084
244,0.0
245,0.0
246,0.1430695
247,0.0
248,0.20806286
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,6.29045e-05
272,0.0
273,0.10664395
274,0.0
275,0.25120065
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.53377837
283,0.0
284,0.0
285,0.0
286,0.0
287,0.23076409
288,0.0
289,0.0
290,0.01483593
291,0.010563343
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.06346248
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.21619888
310,0.43303096
311,0.0
312,0.0
313,0.0
314,0.0
315,0.2685284
316,0.62407327
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,2.3048813
325,0.39274037
326,2.0020704
327,0.07435957
328,0.027498882
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.23465745
338,0.012553222
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.00043257236
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0139788715
352,0.66774184
353,1.0949961
354,0.0
355,0.0
356,0.060710862
357,1.2007372
358,0.5519713
359,0.36602095
360,0.0
361,0.7678015
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,1.8804973
368,0.0
369,0.91683775
370,0.1676089
371,0.088061646
372,1.5552638
373,0.28424188
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.59971786
383,0.0
384,0.0
385,0.0
386,0.029025016
387,0.0
388,0.013062712
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,3.355787
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,1.0436668
426,0.0
427,0.07160272
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.28277713
438,0.3001947
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.35841927
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.43310785
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.4064632
474,0.0
475,0.0
476,0.0
477,0.0
478,0.3218762
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.050943058
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.059425946
493,0.0
494,0.0
495,0.0
496,0.48696765
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.00784519
504,0.0
505,0.044986915
506,0.0
507,0.0
508,0.0
509,0.0
510,0.06392565
511,0.018481592
512,0.0
513,0.0
514,0.0
515,0.0015387442
516,0.0
517,0.0
518,0.00036022562
519,0.0890293
520,0.064961985
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.043072805
528,0.0
529,0.0
530,0.0
