,0
0,0.0
1,0.0
2,1.6256392
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,1.0263808
17,0.0
18,0.0
19,0.0
20,0.0
21,0.20939973
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.77403325
31,0.0
32,0.3725209
33,0.0050935084
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.019650195
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,1.7459826
65,0.0
66,0.6382672
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.23243801
74,0.0
75,0.0
76,0.0
77,0.0
78,0.728472
79,0.93442774
80,0.0
81,0.0
82,0.0
83,0.0
84,4.0862737
85,0.2212647
86,0.43330604
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,1.6563867
99,0.22496203
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.607141
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.46608597
131,0.23448697
132,0.0
133,2.1587415
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.3804517
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.7398992
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.25163624
160,0.0
161,0.017950343
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,1.9875095
170,0.0
171,3.5878363
172,0.36958706
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,2.827226
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.24062842
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.018877622
211,0.0
212,7.504646e-06
213,0.18813168
214,0.0
215,0.0
216,0.0
217,0.08340051
218,0.0
219,0.0
220,0.0
221,0.15262188
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.029913923
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.24243243
237,0.02969648
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.064106256
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.039160147
254,0.0
255,0.0
256,0.00013528635
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.026692247
271,0.0
272,0.0
273,0.7060445
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.07328375
281,0.0
282,0.0
283,0.0
284,0.04246414
285,0.039654132
286,0.57042503
287,0.0
288,0.5059364
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,1.1893928
301,0.086689524
302,0.08882558
303,0.35523117
304,0.0
305,0.0
306,0.0
307,0.25121027
308,0.035968475
309,0.0
310,0.0
311,0.0
312,0.002937718
313,0.0
314,0.007346558
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.07750541
322,0.0
323,0.0
324,0.004629077
325,0.0
326,0.0
327,0.0
328,0.29114968
329,0.0
330,0.0
331,0.0
332,0.0
333,0.03052723
334,0.3156971
335,0.0
336,0.0026404199
337,0.44359288
338,0.0
339,0.0
340,0.0
341,0.0
342,0.009872245
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.2355294
350,0.2748768
351,0.0
352,0.25686866
353,0.4845665
354,0.27987605
355,0.0
356,0.0
357,0.0
358,0.0
359,0.00016279395
360,0.06478917
361,0.0
362,0.0
363,0.0
364,0.16773658
365,0.0
366,0.0
367,0.42149267
368,0.0
369,0.0
370,0.084036596
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.009210535
378,0.0
379,0.23312062
380,0.21927705
381,2.9883099
382,2.269398
383,0.0
384,0.90316045
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.19186752
394,0.0
395,0.0
396,0.0
397,0.06425621
398,0.0
399,0.4260907
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0007898883
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.07566908
450,0.0076682656
451,0.044027437
452,0.0
453,0.10548379
454,0.0
455,0.0
456,0.0
457,0.43539998
458,0.92427236
459,0.0
460,0.04518025
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,2.1711497
481,0.9202375
482,0.0
483,0.0
484,0.0
485,0.1644571
486,0.0
487,0.02287433
488,0.092948586
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0001359008
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.38090765
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.04549956
530,0.017307157
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.43298826
