,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.024891036
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,1.3650398
17,0.0
18,0.6604522
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.014492785
27,5.838379e-05
28,0.0
29,0.0
30,0.0
31,0.0
32,0.34257597
33,0.45348647
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.012407589
46,0.0
47,0.09462596
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,1.0460993
62,0.0
63,0.09532291
64,1.2527332
65,1.6590837
66,0.027434202
67,0.0
68,0.0
69,0.0
70,0.57348526
71,0.24957874
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.1347813
82,0.0
83,0.0
84,0.0
85,0.22925816
86,0.850674
87,0.0
88,0.0
89,0.0
90,0.0
91,0.68664175
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,1.7343445
100,1.0329982
101,1.7433882
102,1.8908412
103,0.08096977
104,0.39819363
105,0.12845345
106,0.025511647
107,0.49360865
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.625131
122,0.59881216
123,2.2563355
124,0.0
125,0.0
126,0.13362001
127,0.03890769
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.025385676
144,0.012581779
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.3339862
151,0.0
152,0.0
153,0.00034090012
154,0.0
155,0.0
156,0.0039955187
157,0.0
158,0.011634449
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0075773825
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.16379319
194,0.0
195,3.2270863
196,0.1284046
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,2.1483233
209,0.0
210,0.0
211,0.010152239
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,1.2966188
224,0.05741686
225,0.0
226,0.0019728777
227,0.24546446
228,0.31844923
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0023894869
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,3.539488
244,0.0
245,0.0
246,2.75597
247,0.0
248,0.81241536
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.019008245
255,0.0
256,0.023499874
257,0.0
258,0.0
259,0.0
260,0.050925307
261,0.0
262,0.0
263,0.0
264,0.12466289
265,0.027352042
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,2.1962276e-06
274,0.0
275,0.0
276,0.0021849163
277,0.0
278,0.0
279,0.0
280,0.0
281,0.053736337
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,3.1530547
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.28363746
304,1.6466888
305,0.90680104
306,0.0
307,0.043099243
308,0.088013224
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.22495475
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.022805296
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0039979806
341,0.0
342,0.0
343,0.0
344,0.0054115807
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0015320359
354,0.0
355,0.0
356,0.037113566
357,0.008117854
358,0.0
359,1.7746845
360,0.0
361,0.01726894
362,0.07258576
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.1406435
376,0.4382631
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.053174566
383,0.0
384,0.0
385,0.0003093424
386,0.0
387,0.010029325
388,0.0
389,0.0018244766
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.03276041
407,0.0
408,0.032404672
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0126619525
417,0.84232104
418,0.4625358
419,0.045082223
420,0.0
421,0.00038270632
422,0.0
423,0.0
424,1.3538256
425,0.0
426,0.0
427,0.0
428,0.0
429,0.24809237
430,0.0
431,0.44926777
432,0.0
433,0.36370027
434,0.1107174
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.9598229
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.1997339
455,0.53281784
456,0.84301716
457,0.19370645
458,0.32584414
459,0.0006892542
460,0.40469432
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.049349803
479,0.0
480,0.092766955
481,0.0
482,0.44354448
483,0.009284722
484,0.053514317
485,0.0
486,0.0
487,0.063906394
488,0.15794118
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.23570247
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,1.99611
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
