,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.002273271
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,1.0573621
17,0.0
18,0.0
19,0.5521743
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0111171035
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.30988348
37,0.0055713756
38,0.51530415
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.08564452
52,0.0
53,0.20167798
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.047504935
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.8843221
73,0.0
74,0.054371838
75,0.041114137
76,1.458275
77,0.06856239
78,0.0004131888
79,0.0
80,0.0
81,0.0
82,0.3324727
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.03094379
94,0.7215364
95,0.0
96,0.0473864
97,0.0
98,0.091428004
99,1.1099168
100,0.0
101,0.0
102,0.0
103,0.0
104,0.8882655
105,0.0
106,0.0
107,0.0
108,0.0
109,0.00026297916
110,0.0
111,0.0
112,1.4364215
113,0.07323004
114,0.09474994
115,0.4597602
116,0.0019873525
117,0.010966348
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.027833682
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,1.2269995
135,0.010930478
136,1.0509158
137,0.82598287
138,0.7111926
139,2.4757118
140,0.0
141,0.0
142,0.21020862
143,0.09368351
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.13287379
161,0.024969308
162,0.0
163,0.0
164,0.0
165,0.0
166,0.032943815
167,0.007857417
168,0.0049888683
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.00010798098
182,0.048223402
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.36143908
196,0.00077989424
197,0.0
198,0.0
199,0.0066597373
200,0.17959999
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.007031327
227,0.0
228,3.4409003
229,0.24117027
230,0.0
231,3.7405882
232,0.17486116
233,1.734132
234,0.0
235,0.12368576
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.10835434
242,0.0
243,0.0
244,0.1896469
245,0.0
246,0.0
247,0.0
248,1.977065
249,0.0
250,0.0
251,0.7345749
252,0.03105929
253,0.32969975
254,0.0
255,0.084651865
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.5821348
269,0.38939166
270,0.057012394
271,0.0
272,0.0
273,0.0
274,0.17880602
275,0.0
276,0.031574864
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,1.7909858
287,0.0
288,0.0
289,0.85793096
290,2.8551164
291,0.0
292,0.0
293,1.1423954
294,0.0
295,0.0
296,0.9651897
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.5929588
304,0.027472135
305,0.0
306,0.0
307,0.0
308,0.22806367
309,0.1917011
310,0.5120961
311,0.010195456
312,0.0
313,0.04241418
314,0.41106528
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.046299685
334,0.016996289
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,2.6307266
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.11636008
359,0.0
360,0.0
361,0.39461
362,1.4402921
363,0.27667654
364,0.0
365,0.21018995
366,0.07149334
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.10173673
373,0.0
374,0.0
375,0.0
376,0.0
377,0.10605332
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.4710716
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.4974147
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.11989923
409,0.0
410,0.039966874
411,0.0
412,0.004545399
413,0.0
414,0.104795836
415,0.07479755
416,0.0
417,2.0973876
418,0.0
419,0.0
420,0.1309597
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.051844273
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.25580993
439,0.0
440,0.0
441,0.061205454
442,0.0
443,0.63406384
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.050845597
457,0.0025709905
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.035383876
466,0.0
467,0.0
468,0.0
469,0.0
470,0.00072572794
471,0.0
472,0.0
473,0.0
474,0.46900687
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.027095063
481,0.0
482,0.0039044989
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.43473667
489,0.0
490,0.00045214387
491,1.4651787
492,1.1425736
493,0.0138460295
494,0.0
495,0.0
496,0.0
497,0.0
498,1.6842109
499,0.0
500,0.0
501,0.08870501
502,0.0
503,0.0
504,0.48878226
505,0.07151471
506,0.3033594
507,0.0
508,0.14458227
509,0.30779588
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,1.014507
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,1.3922225
525,0.0
526,0.0
527,0.0
528,0.0
