,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.20907989
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.062610485
16,0.43493623
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,2.951613
29,0.0
30,0.0
31,0.0
32,1.0358303
33,0.123240806
34,0.0
35,0.025664203
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.23294914
42,0.0
43,0.0
44,0.29783955
45,0.0
46,1.5453048e-05
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,1.6142657
59,0.0
60,0.04035942
61,0.0
62,0.0
63,0.0
64,0.1686584
65,0.0
66,0.0
67,0.83090866
68,0.078399345
69,0.0
70,0.0
71,0.0012356741
72,4.7194185
73,0.0
74,0.0
75,0.0
76,0.0
77,0.003880612
78,0.0
79,0.11637588
80,0.08563599
81,0.0
82,0.0
83,3.152622e-06
84,0.0
85,0.0
86,0.0
87,0.0
88,0.060101956
89,0.0
90,0.0
91,0.0
92,0.0
93,0.017134141
94,0.010158432
95,0.10446567
96,0.01872208
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.00014998151
114,0.0
115,0.0
116,0.0
117,0.0
118,0.04331634
119,0.0
120,0.0
121,0.8226857
122,0.08797797
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.45463595
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.2715739
140,0.005883733
141,1.0113322
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.36993894
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.07389073
166,0.0
167,0.0
168,0.0
169,0.03828699
170,0.0
171,0.19513585
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.89985615
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.3157026
192,2.2854354
193,0.0
194,0.0
195,0.0
196,0.02516937
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.5745093
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.408905
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.3255796
234,0.0
235,0.0
236,0.0
237,0.12292659
238,0.0
239,4.431033
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.60315573
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.08154964
260,0.0
261,0.0
262,0.028245654
263,0.7849409
264,0.0
265,0.0
266,0.0
267,0.18080397
268,0.27329838
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.8981191
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.099009655
283,0.6196556
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.12964638
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.04104612
302,0.32331342
303,0.045680277
304,0.13274264
305,0.0
306,1.0776476
307,0.013252984
308,0.0
309,0.0
310,0.0
311,0.9973088
312,0.0
313,0.34758115
314,0.42320296
315,2.5994973
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.801193
326,1.4757551
327,0.0
328,0.0
329,0.0
330,0.15721066
331,0.659661
332,0.0
333,0.032040495
334,0.0
335,5.6063313
336,0.0
337,2.2512402e-05
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.27391925
355,0.117521666
356,0.0
357,0.0
358,0.0
359,0.0
360,0.7702004
361,0.2505491
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,2.8616607
369,0.0
370,0.46645036
371,0.3725401
372,0.0
373,0.0
374,0.0
375,0.5047522
376,0.0
377,0.45433533
378,0.3800809
379,0.26313767
380,0.017624872
381,0.0
382,0.0
383,0.0
384,0.26532862
385,0.0
386,0.0
387,0.32168302
388,0.5152191
389,0.0
390,0.0
391,0.0
392,0.35829043
393,0.0
394,0.0
395,0.0
396,0.008123892
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.00050580676
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.030488774
420,0.54151404
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.005020133
427,0.06547881
428,0.122395754
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.24025625
441,0.0
442,0.0
443,0.0
444,0.0
445,0.13194972
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.1091903
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.8827986
470,0.0
471,0.0
472,0.0
473,0.0
474,0.011744148
475,0.0
476,0.0
477,0.34802803
478,0.28225666
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.40539512
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0056089316
512,0.0
513,0.0
514,0.53258306
515,0.009628289
516,0.20066255
517,0.023247505
518,0.9852616
519,0.0
520,0.0
521,0.103734046
522,0.8666462
523,0.0
524,0.0
525,0.0
526,0.0
527,0.00029592274
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
