,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.012247027
6,0.0
7,0.086870275
8,0.0
9,0.0
10,0.32746458
11,0.0
12,0.0
13,0.0
14,0.13046072
15,0.16003475
16,0.0
17,0.00064626144
18,0.0
19,1.740201
20,1.7769318
21,0.0008337666
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0042635407
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.26791805
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.09610597
60,0.0
61,0.0
62,0.010393489
63,0.2504425
64,0.24332288
65,0.07198596
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,8.682774e-06
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,1.9124128
78,0.31985793
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.6974434
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.014395843
99,0.08669479
100,4.060148e-05
101,0.0
102,0.0
103,0.0
104,0.2145281
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0030079484
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.08699314
143,1.1897091
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.08272219
153,0.0
154,0.0
155,0.0
156,0.0
157,0.37003338
158,1.5134317
159,0.0
160,0.0
161,0.0
162,0.0
163,0.004219606
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0005796785
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.002254573
176,0.0
177,0.391463
178,0.0
179,0.2554887
180,0.0
181,0.0
182,0.0
183,0.018103447
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.014073911
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.098483495
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,1.0533504
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.44529778
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.015352959
225,0.0
226,0.00061559025
227,0.017448245
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.19993211
246,0.0
247,0.0036454997
248,0.0
249,0.08406587
250,0.0
251,0.3242482
252,0.016638085
253,0.0
254,0.0
255,0.0
256,0.0
257,0.026680667
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.62114394
264,0.17266725
265,0.0
266,0.0
267,0.48602572
268,0.020184157
269,0.0
270,0.0
271,0.0
272,0.011041464
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,1.1441422
280,0.0
281,0.026012821
282,0.009950559
283,0.6943361
284,0.3105959
285,1.1213776
286,0.0
287,0.0863356
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.044378817
305,0.1789744
306,0.0
307,0.0
308,0.009595481
309,0.0
310,0.07091078
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0047387783
316,0.0006761168
317,0.0
318,0.0
319,0.0
320,1.4990664
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.4742818
331,0.0
332,0.0
333,0.019373965
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0015889643
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.35054687
355,0.70047444
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.81694764
365,0.0
366,0.0
367,0.0
368,0.0
369,0.06741495
370,0.0
371,0.0
372,0.26892596
373,0.0
374,1.9361279
375,0.0
376,0.0
377,0.34374246
378,0.17975251
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.3998408
385,0.028522868
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.027234007
404,0.12024477
405,0.25515667
406,0.0
407,0.0
408,0.0
409,0.10352237
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.22675954
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.7291542
425,0.20230694
426,0.0
427,0.0
428,0.0
429,0.036112692
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0010879663
439,0.0
440,0.0
441,0.0
442,0.0
443,0.00936897
444,0.0
445,0.0
446,0.7763255
447,0.0
448,0.0
449,0.22104597
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.10700296
463,0.0017033332
464,0.07883894
465,0.32826722
466,0.0
467,1.2668837
468,3.7209027
469,0.031606134
470,0.0
471,0.0
472,0.0
473,0.0
474,0.032626852
475,1.6443651
476,0.0
477,0.0
478,0.0
479,4.6224422
480,1.8586609
481,2.929435
482,0.0
483,0.18340853
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0029776609
490,0.0
491,4.099014
492,0.0
493,1.2042196
494,0.0
495,0.19538978
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.16546535
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0021893275
513,0.023690496
514,0.0
515,9.260024
516,1.2524881
517,0.0
518,0.0
519,0.0007046265
520,0.007921027
521,0.0
522,0.0
523,0.0
524,0.3737662
525,0.0696253
526,0.4663639
527,0.29515165
528,0.023690496
